g1,g2,g3,g4,g5,g6
50,15,20,40,55,40
95,25,52,20,52,50
60,14,5,30,65,8
44,23,16,60,78,15
60,40,22,80,85,45
50,80,60,90,67,55
35,95,75,75,63,56
20,100,70,40,60,58
10,85,45,12,54,59
8,97,25,19,59,62
56,75,36,58,73,64
70,60,50,65,40,68
65,65,60,34,45,75
42,55,45,56,49,85
22,40,55,68,38,95
33,45,58,78,80,10
40,80,75,68,90,15
53,90,40,52,57,22
52,20,38,55,59,34
89,25,42,59,40,39
90,32,52,62,36,40
55,36,56,60,52,45
50,30,80,22,49,49
55,26,10,25,95,58
65,19,13,10,100,90
72,2,32,60,,94
45,8,45,58,,
35,60,46,,,
,50,8,,,
,55,,,,
